trial,environment_seed,sensor_seed,sensor_scenario,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
0,2730937650,2972426433,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.17912790074251228,72.7,14.342015908000462,14.427889272817303,0.05031780952361805,0.1806183557789073,0.05735529749947224,0.02522881336572145,0.08172935304564567,0.03145648493889088,0.038720021862956214,0.1806183557789073,0.048840280573712466,0.14780680208595212,0.06655140607912313,5.341011439178643,5.341011439178643,0.0,8.144061982960496e-17,2.7755575615628914e-16,0.25749454737888705,0.2574945473788872,0.0,72.7,0.0,0.0,0.0,0.0,72.7,0.0,0.0,0.0,0.0,False,False,False
1,725595369,1766001812,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.19620710794993385,64.9,13.146518231461675,13.34864812232595,0.052013209846890396,0.1685285608516428,0.05854627252809258,0.02011199375468033,0.10722379669548403,0.026889022509315855,0.03837280425638642,0.16738171264514728,0.04875559247624632,0.12556846226206034,0.09855669313943305,4.805637795971154,4.805637795971154,0.0,8.545521579512605e-17,1.962615573354719e-16,0.29055339659113727,0.2905533965911372,0.0,64.5,0.40000000000000213,0.0,0.0,0.0,64.1,0.8000000000000007,0.0,0.0,0.0,False,False,False
2,696368142,856203148,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2195284831113978,63.400000000000006,12.687366627361833,12.804557028533996,0.053107468018396116,0.1638883874419858,0.059696672547569114,0.031219022905005132,0.08386655729182554,0.03678633718133136,0.044164715808309225,0.14341339688386143,0.05359423273347354,0.1208223375977018,0.09200302020287586,4.962238431859985,4.962238431859984,0.0,9.179297282772115e-17,1.962615573354719e-16,0.31167895937417195,0.31167895937417195,0.0,63.400000000000006,0.0,0.0,0.0,0.0,63.400000000000006,0.0,0.0,0.0,0.0,False,False,False
3,707573593,2121814943,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.18404823317854951,71.60000000000001,13.817754226936074,13.821425835631752,0.054533722234054116,0.17183111550733582,0.06101105804522219,0.030161210579073262,0.11440071021943668,0.03893905319467007,0.04453790818470643,0.2167014513013187,0.05716600745307059,0.15929453009404324,0.13268402689273232,5.568717691440309,5.568717691440309,0.0,7.994588570959993e-17,2.779024842816778e-16,0.3480029335946774,0.3480029335946774,0.0,64.3,7.300000000000004,0.0,0.0,0.0,64.4,7.199999999999996,0.0,0.0,0.0,False,False,False
4,1443673076,4002826033,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.21712372557555684,75.2,15.243861168942688,15.372781083733567,0.05430954057037746,0.13715548815947495,0.06039943341972361,0.03482444884642588,0.09052231039370631,0.04036577626824854,0.04526277579315695,0.19109589946348443,0.05755998504724116,0.16840769315016085,0.12552646509950538,6.194632565825145,6.194632565825145,0.0,8.09347198719044e-17,2.7755575615628914e-16,0.45441335887572115,0.4544133588757212,0.0,74.7,0.5,0.0,0.0,0.0,74.7,0.5,0.0,0.0,0.0,False,False,False
5,1283743613,2132980747,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.19828378229595717,67.8,13.660293623437077,13.743363036630399,0.05416163010907539,0.17550831008478332,0.06071882735137131,0.03209897123704514,0.12597962692595488,0.03948424870705852,0.047519702201341,0.21424489355343565,0.05995040986104462,0.08983332577584016,0.0686134447218345,5.480971593080339,5.480971593080339,0.0,7.975015710553268e-17,2.498001805406602e-16,0.33430836327293856,0.33430836327293856,0.0,67.8,0.0,0.0,0.0,0.0,67.8,0.0,0.0,0.0,0.0,False,False,False
6,2118442539,3858050010,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.14699880755959516,74.9,15.234044337014886,15.35341824372108,0.05024512565928197,0.16363105084564258,0.05764226634653118,0.027718608871949206,0.12152072005258141,0.036232595339669396,0.0430836588597388,0.1741284254826958,0.05466230581087015,0.14985294025994064,0.11326126728611412,5.75521055834995,5.755210558349949,0.0,8.084059859367628e-17,2.830524433501838e-16,0.27583692801887555,0.27583692801887566,0.0,74.0,0.8999999999999986,0.0,0.0,0.0,73.10000000000001,1.7999999999999972,0.0,0.0,0.0,False,False,False
7,1122514226,3692069387,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2534540975928931,71.10000000000001,14.150493879559885,14.318475461315165,0.054727406926412335,0.14298388020011463,0.061076732315559,0.03957363416655679,0.12013952870421676,0.0481779647690732,0.05240556658809799,0.16003871917015688,0.0639741642772864,0.06279869682214674,0.033966086980507626,5.482109210445439,5.482109210445439,0.0,8.609469684599055e-17,2.237726045655905e-16,0.362131110530239,0.362131110530239,0.0,62.50000000000001,8.599999999999998,0.0,0.0,0.0,61.70000000000001,9.399999999999995,0.0,0.0,0.0,False,False,False
8,2945440137,252367688,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2250655328774323,71.60000000000001,14.416839997959926,14.566502816318046,0.050705940357803264,0.23648022724177067,0.05789628132990239,0.028913325925900745,0.14584861410876246,0.04230246183009425,0.04153286309701676,0.1703418722306866,0.05315513654330881,0.16255690751308635,0.0964856001315433,5.680241009990382,5.680241009990382,0.0,8.127387852469571e-17,2.779024842816778e-16,0.2656272777283474,0.2656272777283474,0.0,71.60000000000001,0.0,0.0,0.0,0.0,71.60000000000001,0.0,0.0,0.0,0.0,False,False,False
9,278029302,3907757283,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2318578211843339,67.5,13.92584227279158,14.032312460487924,0.05189474560673409,0.25437904505895437,0.05877425825855815,0.03128274358119776,0.10447996191724683,0.03891095579234451,0.044640891322398256,0.2528439546327089,0.05668180500031516,0.23920216720796628,0.1967302307833103,5.664101587639497,5.664101587639497,0.0,8.591724066517028e-17,2.830524433501838e-16,0.4599540476114224,0.4599540476114224,0.0,67.5,0.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,False,False,False
