trial,environment_seed,sensor_seed,sensor_scenario,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
0,4205179214,1043877714,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.27154997635534806,77.60000000000001,15.467632747844839,15.636705596836359,0.05295945547703644,0.16884747603556055,0.0596994981448125,0.025242014611407324,0.09523560744635526,0.03162171123478391,0.03916814493773137,0.15746902379970784,0.049499710017609284,0.13502174077622886,0.08660333450779573,6.042230687410204,6.042230687410205,0.0,7.389841557212379e-17,2.7755575615628914e-16,0.41128958303032137,0.4112895830303213,0.0,77.60000000000001,0.0,0.0,0.0,0.0,77.60000000000001,0.0,0.0,0.0,0.0,False,False,False
1,673551744,3144459834,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.15052653587703155,70.60000000000001,13.776608166631622,13.888312905176882,0.052100925630937434,0.18099851411760873,0.057844679151721964,0.023729702966776227,0.08374263989736974,0.02883881642179624,0.04143600655248015,0.152716074535574,0.05120912047371889,0.12566975282250586,0.06588119330412173,5.388068424164386,5.388068424164385,0.0,8.01992412926616e-17,2.5324586304240974e-16,0.2870642805467937,0.2870642805467937,0.0,68.8,1.8000000000000043,0.0,0.0,0.0,68.3,2.300000000000006,0.0,0.0,0.0,False,False,False
2,1357353941,2689563746,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.24525711912561923,73.7,14.898035276257321,15.032136719624518,0.052303833478923395,0.15348431989803735,0.05931909116029763,0.031007839853175435,0.07447721667258742,0.03704038265336694,0.043688903686560594,0.1904915697490155,0.053893276077270666,0.1394499252109563,0.09110399872456422,5.701452159642658,5.701452159642658,0.0,8.241258058116178e-17,2.779024842816778e-16,0.24509621014511832,0.24509621014511843,0.0,73.7,0.0,0.0,0.0,0.0,73.7,0.0,0.0,0.0,0.0,False,False,False
3,1982900983,3031171278,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.13631593397473252,72.9,14.884070467421346,14.981426014149939,0.050842258574450155,0.1460281335158283,0.05719001783668874,0.029332792436216604,0.09270441033741807,0.03629637441576414,0.03991699505004098,0.19160853166919345,0.05135374406102114,0.36417238244041883,0.2786166323881769,5.520056699320951,5.52005669932095,0.0,7.848308294236536e-17,3.053310439023432e-16,0.23367858590755264,0.23367858590755267,0.0,71.9,1.0,0.0,0.0,0.0,71.9,1.0,0.0,0.0,0.0,False,False,False
4,2480830751,250060728,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.26873997125333515,67.9,13.472368515332331,13.621920757128404,0.05076791086072908,0.1751989756236337,0.05789797828421959,0.031329610478547175,0.08310061868640238,0.037271895258244994,0.04381259630682346,0.1568947447655091,0.05410220436106835,0.12838847295711883,0.08486831384121274,5.31543510328529,5.3154351032852905,0.0,8.145955422578096e-17,2.2887833992611187e-16,0.22842073774169128,0.22842073774169128,0.0,67.9,0.0,0.0,0.0,0.0,67.9,0.0,0.0,0.0,0.0,False,False,False
5,2558976498,3213123637,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.20161844780720128,68.3,13.501595774166688,13.697544573808672,0.050868559430530216,0.15520334385715007,0.05744299098198731,0.033237574672357204,0.10892021399939784,0.04124228055788227,0.039813717310849255,0.1527005545430241,0.05003492186052716,0.09935895666873235,0.06755730900646867,5.164707222096794,5.164707222096794,0.0,8.402357186627305e-17,2.9893669801409083e-16,0.2759540083736357,0.2759540083736357,0.0,68.3,0.0,0.0,0.0,0.0,68.19999999999999,0.10000000000000142,0.0,0.0,0.0,False,False,False
6,92204031,2207719320,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.20063350996609472,62.300000000000004,12.830112322675047,12.9761905884258,0.049200477432806235,0.19579182934257422,0.056049802828367544,0.028518301067123775,0.11031102512703897,0.036005153303801794,0.04036038065913995,0.19579182934257422,0.05080877849227807,0.10189952761592794,0.03419177684398673,5.130383880475834,5.130383880475835,0.0,8.750736353484347e-17,1.962615573354719e-16,0.2966667845185483,0.29666678451854833,0.0,61.2,1.0999999999999996,0.0,0.0,0.0,61.1,1.200000000000001,0.0,0.0,0.0,False,False,False
7,1579960762,2293126795,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.258009127282912,64.2,12.79249366865037,12.981768068323742,0.05089568083991986,0.2669423180971903,0.058361757594087654,0.022350100851183774,0.053883646933199913,0.026233602472452437,0.041324007622133216,0.23629846705148197,0.05153774469583217,0.12743758185587936,0.08861173350615638,4.699229331508084,4.699229331508082,0.0,8.956541635496163e-17,1.962615573354719e-16,0.30719721327639693,0.30719721327639693,0.0,64.2,0.0,0.0,0.0,0.0,64.2,0.0,0.0,0.0,0.0,False,False,False
8,886987449,2799134337,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2047123770630596,72.9,13.880212875682442,14.042470627387877,0.049716716148998294,0.17525034480566942,0.05656274379022578,0.023566651438189597,0.07921844167989178,0.03017166128927579,0.041508886388669626,0.17502352879145344,0.051939357748606,0.15696043415741998,0.048987777054756196,5.400112824459239,5.400112824459239,0.0,7.881535617920611e-17,2.776424787817943e-16,0.322725389870302,0.322725389870302,0.0,72.7,0.19999999999999574,0.0,0.0,0.0,71.8,1.1000000000000014,0.0,0.0,0.0,False,False,False
9,3788184604,3866390375,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.16709721747932357,65.60000000000001,13.583358679389871,13.699945788006842,0.05013452843167427,0.17543796976582574,0.05733178732671423,0.03078020580462882,0.09153179209628795,0.03703146259175546,0.04075252296005917,0.13460678267050175,0.04945123423209613,0.09335372641387224,0.06917558478028653,4.71826237425511,4.718262374255111,0.0,8.581055403136485e-17,2.779024842816778e-16,0.24427878675128825,0.24427878675128825,0.0,65.60000000000001,0.0,0.0,0.0,0.0,65.60000000000001,0.0,0.0,0.0,0.0,False,False,False
