trial,environment_seed,sensor_seed,sensor_scenario,sensor_scenario_name,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
0,2730937650,2972426433,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.1533648783688304,70.2,14.366191965634982,14.454892214981566,0.0504322929319001,0.1806183557789073,0.057486147117636076,0.02588899107190625,0.07112806387276524,0.03172379188121593,0.03930584689960169,0.1796459795263673,0.04933586446892344,0.1493776713889125,0.09257929812373186,5.228991817253129,5.22899181725313,0.0,8.218317356687363e-17,2.7757743935277205e-16,0.348355106363294,0.348355106363294,0.0,70.2,0.0,0.0,0.0,0.0,70.2,0.0,0.0,0.0,0.0,False,False,False
1,725595369,1766001812,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.14941146876436578,70.2,14.02589013767032,14.18806012461787,0.05189708763445572,0.1685285608516428,0.0584498416912333,0.02403111096364452,0.08126383619346364,0.028978536640952204,0.041048358772037545,0.17803386063856677,0.05263274265878544,0.1491346072971921,0.09465825965299127,5.4902054781724035,5.4902054781724035,0.0,7.906630581323448e-17,1.7772239894833365e-16,0.2581986482774677,0.2581986482774677,0.0,70.2,0.0,0.0,0.0,0.0,70.2,0.0,0.0,0.0,0.0,False,False,False
2,696368142,856203148,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2057588350279709,62.900000000000006,12.731436628280012,12.835580577877149,0.053086024483973815,0.1638883874419859,0.05971206520064643,0.030367440090975955,0.07804799573002423,0.036233640617595875,0.04359980477419182,0.1654515165302886,0.05286401300210746,0.16527465302189256,0.12014664775062874,5.125541087765946,5.125541087765947,0.0,8.969860216228299e-17,1.962615573354719e-16,0.40040802295766803,0.40040802295766803,0.0,62.900000000000006,0.0,0.0,0.0,0.0,62.900000000000006,0.0,0.0,0.0,0.0,False,False,False
3,707573593,2121814943,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.16550004056935633,70.2,13.98030924382498,13.975985827963239,0.054446515338758175,0.17183111550733582,0.06089430319531045,0.02988767076282557,0.107255269113971,0.03857931137314563,0.04516831559742032,0.22267418323322835,0.058121535825482976,0.23489740815540028,0.21474858648558381,5.400629724710178,5.40062972471018,0.0,7.850066658369724e-17,2.2591401799415137e-16,0.36229687030493957,0.36229687030493957,0.0,65.4,4.799999999999997,0.0,0.0,0.0,65.60000000000001,4.599999999999994,0.0,0.0,0.0,False,False,False
4,1443673076,4002826033,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.177537355712315,75.0,15.252783818825087,15.333738415326255,0.05435515801515875,0.13715548815947487,0.06044753773901843,0.03455995452498836,0.0923903925258815,0.04068978389830546,0.0453526871866619,0.18984519490793458,0.05720627220980549,0.16599201584461806,0.13737038498291376,6.098486192635759,6.098486192635758,0.0,8.152957804438704e-17,2.7756117711421305e-16,0.33177307850969584,0.33177307850969584,0.0,74.6,0.4000000000000057,0.0,0.0,0.0,73.8,1.1999999999999957,0.0,0.0,0.0,False,False,False
5,1283743613,2132980747,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.20345236930255514,69.3,13.754789306154576,13.845509908924008,0.053814403179375414,0.17550831008478332,0.06036476361549865,0.032496274545182655,0.12831831121757745,0.040318553401861475,0.04717769664669444,0.21642535127370677,0.05958499068564285,0.17222138507808119,0.11648900489959679,5.677181679780893,5.677181679780892,0.0,8.126215972629856e-17,2.8066088919804617e-16,0.26625884346953754,0.2662588434695376,0.0,69.3,0.0,0.0,0.0,0.0,69.3,0.0,0.0,0.0,0.0,False,False,False
6,2118442539,3858050010,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.16196690660968602,76.5,15.32949954658245,15.480072929749646,0.0504928243670405,0.16363105084564283,0.0578528105890797,0.02798710530236555,0.11203503754143394,0.0360298853699154,0.04352254928002981,0.16954087417703945,0.05486385663257127,0.17022710298393254,0.1299843966454448,5.702778051575084,5.702778051575084,0.0,7.830915094448861e-17,2.592584715281538e-16,0.23954286105917494,0.23954286105917505,0.0,76.1,0.3999999999999986,0.0,0.0,0.0,75.8,0.7000000000000028,0.0,0.0,0.0,False,False,False
7,1122514226,3692069387,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.1851911154969691,68.60000000000001,14.240503861235775,14.29819271388575,0.05506405834365249,0.14298388020011457,0.06136051283862985,0.043045163161585756,0.11685838861306834,0.05181133766551296,0.052989666367153375,0.18262341771881074,0.06522703810583708,0.14487211342835585,0.08633480744348294,5.684139980978747,5.684139980978747,0.0,8.717246145865866e-17,2.830524433501838e-16,0.2695543255931842,0.26955432559318426,0.0,62.0,6.600000000000002,0.0,0.0,0.0,61.0,7.60000000000001,0.0,0.0,0.0,False,False,False
8,2945440137,252367688,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.18825777463837862,70.5,14.515202516470588,14.679742900388355,0.050872073923501154,0.23648022724177067,0.05809528246608157,0.027576035655433314,0.13353414739335623,0.03824893450992336,0.04035815184664831,0.1577472274349807,0.05080310614467367,0.16332162670486214,0.12713207580684,5.899221980034277,5.899221980034277,0.0,8.110289458069262e-17,2.220446049250313e-16,0.4542624157175222,0.4542624157175222,0.0,70.5,0.0,0.0,0.0,0.0,70.5,0.0,0.0,0.0,0.0,False,False,False
9,278029302,3907757283,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.23098101262818216,67.5,13.976578541271392,14.10187113209799,0.0518947456067341,0.25437904505895437,0.05877425825855815,0.03140371425719495,0.09595975549872336,0.03853724945383299,0.04443432280300998,0.25317941649609976,0.05611707323094726,0.267549047948175,0.22018289519924839,5.41208465424147,5.41208465424147,0.0,8.553679835093952e-17,2.7894008272968645e-16,0.40020935126432744,0.40020935126432744,0.0,67.5,0.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,False,False,False
