trial,environment_seed,sensor_seed,sensor_scenario,sensor_scenario_name,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
0,2730937650,2972426433,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.47609343781303637,74.3,14.945710848077015,14.454892214981566,0.3891830751108913,0.7071067811865476,0.39356623443899735,0.30959126057208036,0.4639660842003051,0.3276990143273201,0.06405556736644322,0.7071067811865476,0.09829721235059377,0.0,0.05,6.404461774373202,6.4044617743732015,0.0,8.066196309709917e-17,2.7755575615628914e-16,0.3535533905932738,0.3535533905932738,0.41532258064516125,71.49999999999999,0.0,0.0,2.8000000000000043,0.0,74.3,0.0,0.0,0.0,0.0,True,False,False
1,725595369,1766001812,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,False,safety_violation,0.2763797924900778,71.5,14.451256488923738,14.18806012461787,0.3730767742062984,0.5865912349773044,0.37733620889217806,0.3110170619423312,0.4407825578552902,0.31921027701859295,0.05463380356893901,0.3937855685947569,0.07979848779275685,0.0,0.09463581782723494,6.42132826638985,6.42132826638985,0.0,8.286581590335207e-17,2.7833528704240246e-16,0.25777458654782154,0.25777458654782154,0.388268156424581,58.89999999999999,4.300000000000004,5.800000000000001,2.5,0.0,71.5,0.0,0.0,0.0,0.0,True,True,False
2,696368142,856203148,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.3787956360877986,66.60000000000001,13.331104258092344,12.835580577877149,0.3861081486193145,0.533963261011868,0.38986150744642667,0.3502775677173378,0.4779877847980184,0.3574253677885632,0.06624963281759065,0.47753345352039817,0.0914556499862177,0.17690142003033818,0.107106697636284,6.219066098992099,6.2190660989921,0.0,9.0539137168386e-17,2.779024842816778e-16,0.2687626688331013,0.26876266883310124,0.3943028485757122,62.50000000000001,4.100000000000001,0.0,0.0,0.0,66.60000000000001,0.0,0.0,0.0,0.0,False,False,False
3,707573593,2121814943,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.35160743805526495,67.3,14.363932093303694,13.975985827963239,0.39070163241324457,0.7071067811865476,0.39489823871526913,0.31559697421245,0.4914903723115391,0.325935259545985,0.06549176625661705,0.7071067811865476,0.09924901054545573,0.0,0.05,6.073577400994569,6.073577400994569,0.0,8.421057195215988e-17,2.779024842816778e-16,0.3535533905932738,0.3535533905932738,0.3916913946587537,59.1,6.0,2.1999999999999957,0.0,0.0,61.699999999999996,5.600000000000001,0.0,0.0,0.0,False,True,False
4,1443673076,4002826033,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,False,safety_violation,0.2686326944745422,77.10000000000001,15.952883244535688,15.333738415326255,0.37644118513093666,0.7071067811865476,0.3814958210776695,0.29681671289994077,0.4939808818250689,0.31242832521988445,0.06867447838177401,0.7071067811865476,0.09387454385826927,0.0,0.05,7.584960353804225,7.584960353804226,0.0,8.326380396556502e-17,2.779024842816778e-16,0.3535533905932738,0.3535533905932738,0.40025906735751293,64.4,11.300000000000004,1.3999999999999986,0.0,0.0,76.4,0.7000000000000028,0.0,0.0,0.0,False,True,False
5,1283743613,2132980747,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.5069831575938138,72.9,14.301197504742895,13.845509908924008,0.37966340067198107,0.5693458367022459,0.38399146336404577,0.330409678426326,0.5256760055698717,0.34139843877869025,0.0683609366418905,0.3579303742482249,0.09174173579347386,0.0,0.1483543720667726,6.626443330997887,6.626443330997887,0.0,8.096817810157799e-17,2.7894008272968645e-16,0.39919382074798154,0.39919382074798154,0.4219178082191781,65.8,3.4000000000000012,0.8000000000000007,2.8999999999999986,0.0,72.9,0.0,0.0,0.0,0.0,True,True,False
6,2118442539,3858050010,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.33375659622200593,79.4,15.736975905011445,15.480072929749646,0.3799967719500223,0.5414552781086254,0.3846170422419941,0.2845168659693956,0.4271409121646079,0.2996989253741154,0.062483005303517296,0.31616308721652936,0.08240657921471897,0.0,0.08046654250145924,7.054210395578739,7.054210395578739,0.0,8.172504489799138e-17,2.9406505148178845e-16,0.26403038030222264,0.2640303803022226,0.4427672955974843,57.39999999999999,15.700000000000003,0.0,6.300000000000011,0.0,78.39999999999999,1.000000000000007,0.0,0.0,0.0,True,False,False
7,1122514226,3692069387,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,False,safety_violation,0.19576598773613668,74.60000000000001,14.751300759979042,14.29819271388575,0.37640570318108657,0.7071067811865476,0.3809813663860589,0.3048239852506252,0.43802120149116525,0.3212562770716929,0.07117430219067923,0.7071067811865476,0.09822917046986425,0.0,0.05,6.883629690988629,6.883629690988629,0.0,8.057963491001685e-17,1.962615573354719e-16,0.3535533905932738,0.3535533905932738,0.4163319946452476,56.600000000000016,13.600000000000001,2.1999999999999993,2.1999999999999886,0.0,65.5,9.100000000000005,0.0,0.0,0.0,True,True,False
8,2945440137,252367688,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.3464391704143442,75.2,15.110009123850375,14.679742900388355,0.3777890878276886,0.7071067811865476,0.3828754996852032,0.28527929868550256,0.4501811225881792,0.30125921618405566,0.06619211933627846,0.7071067811865476,0.09900078510511935,0.0,0.05,6.780245783878534,6.780245783878534,0.0,7.817903179472971e-17,2.7757743935277205e-16,0.4604861892771895,0.46048618927718954,0.3944223107569721,72.7,0.0,0.0,2.5,0.0,75.2,0.0,0.0,0.0,0.0,True,False,False
9,278029302,3907757283,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.32964571399713455,69.60000000000001,14.568566650237594,14.10187113209799,0.37603854975222006,0.5322411887546794,0.38004532365492905,0.31549831075083895,0.45261240936343444,0.329044492384724,0.0697196167188896,0.5163918988270605,0.1004264044564961,0.0,0.0906034776104132,6.322580748600169,6.322580748600169,0.0,8.164956525047079e-17,2.779024842816778e-16,0.39522281879183413,0.39522281879183413,0.4232424677187948,56.5,9.600000000000005,3.5,0.0,0.0,69.3,0.30000000000000426,0.0,0.0,0.0,False,True,False
10,3616197823,2935630276,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,False,safety_violation,0.17180118253231935,68.7,14.333848867819967,14.041210033374572,0.37830702901145413,0.7071067811865476,0.3828385529398847,0.3092822097343918,0.4948337439474389,0.32148998172521864,0.06978367546310627,0.7071067811865476,0.09458407422549038,0.0,0.05,6.331379820200797,6.331379820200798,0.0,8.47099243330897e-17,2.776424787817943e-16,0.3535533905932738,0.3535533905932738,0.3968023255813954,56.7,5.1,6.899999999999999,0.0,0.0,68.3,0.40000000000000213,0.0,0.0,0.0,False,True,False
11,1745707571,4237896947,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.3031094732334694,69.3,14.301917024752115,13.79375447390864,0.38135668013263485,0.5448480867061523,0.3854911784231719,0.3232713468095206,0.5009100087742114,0.3348120677594669,0.06641930267182675,0.5253026596090156,0.09339395865061742,0.25155668685204446,0.09332352371488649,5.73713709675668,5.73713709675668,0.0,8.388102637469122e-17,2.779024842816778e-16,0.32177954553818444,0.3217795455381845,0.3948126801152738,63.9,5.399999999999999,0.0,0.0,0.0,69.3,0.0,0.0,0.0,0.0,False,False,False
12,2210454256,3908414215,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,False,safety_violation,0.2453668316904863,87.4,17.656839159411422,17.111446185678226,0.373590308264822,0.5940400828394424,0.37913380552691434,0.24920766552888146,0.4284582357028532,0.2698396694753058,0.0653536337449306,0.4801437687766182,0.08692385692858325,0.0,0.06581118729831174,8.058981890733568,8.058981890733568,0.0,8.694556032653125e-17,2.830524433501838e-16,0.30798196715332815,0.30798196715332815,0.40228571428571425,74.7,2.0999999999999996,3.5999999999999988,6.9999999999999964,0.0,85.7,1.7000000000000028,0.0,0.0,0.0,True,True,False
13,2511590377,3203569087,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,False,False,False,False,planning_failure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,
14,2274882830,1406550982,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.33203148006770034,74.2,14.933552424108015,14.352066650916205,0.3857836563406975,0.5564587253348363,0.3902483273098972,0.322435914836482,0.5111993619156416,0.33150928040018807,0.07066555311194755,0.48120771194233963,0.09546009578927443,0.0,0.12497528270646477,6.941021862791499,6.941021862791499,0.0,8.20999868742245e-17,2.830524433501838e-16,0.2655232345276012,0.265523234527601,0.42664872139973087,64.3,6.100000000000001,3.8000000000000007,0.0,0.0,73.0,1.2000000000000028,0.0,0.0,0.0,False,True,False
15,1306523764,2141035876,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,False,safety_violation,0.2722754060571337,68.9,14.126751772214202,13.899657054491193,0.3799292728463649,0.7071067811865476,0.3842261361469437,0.3158590598038397,0.44776998346077507,0.32414179645230584,0.07296369908526602,0.7071067811865476,0.09992443469729932,0.0,0.007077961885765233,6.349737206714849,6.349737206714849,0.0,8.529177804727207e-17,3.1031676915590914e-16,0.3535533905932738,0.3535533905932738,0.3971014492753623,53.3,13.700000000000003,0.0,1.9000000000000004,0.0,66.9,2.0,0.0,0.0,0.0,True,False,False
16,1010042146,3658271060,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.41654688790455247,73.0,14.766107943482542,14.44750680147757,0.3767122408928659,0.7071067811865476,0.3806081007868527,0.30086649442696556,0.48036224517276926,0.31260404892651605,0.06246496991839236,0.7071067811865476,0.08930604994608314,0.09674333471647117,0.05,6.365528331537879,6.365528331537879,0.0,8.569430762867458e-17,2.830524433501838e-16,0.3535533905932738,0.3535533905932738,0.387140902872777,67.39999999999999,5.600000000000001,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,False,False,False
17,2786688297,2335196008,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.3266711272385512,84.0,17.662549057958493,17.42815837391544,0.3737078422006607,0.7071067811865476,0.3793959703745859,0.2324153814200394,0.44336286015997517,0.2523522883614645,0.063445124580822,0.7071067811865476,0.08916277479171052,0.0,0.05,7.3842726519758495,7.3842726519758495,0.0,8.42458878359493e-17,2.8177377798042847e-16,0.3535533905932738,0.3535533905932738,0.3721759809750297,78.5,0.0,1.5,4.0,0.0,83.89999999999999,0.09999999999999787,0.0,0.0,0.0,True,True,False
18,3018799164,2492545633,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,False,False,False,False,planning_failure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,
