trial,environment_seed,sensor_seed,sensor_scenario,sensor_scenario_name,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
0,2730937650,2972426433,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.20685929795665764,71.4,14.36861729230413,14.454892214981566,0.07362710330699183,0.2193843346311521,0.08181459262617287,0.028711460613324927,0.08305371694718507,0.03505618877163482,0.0421695222208327,0.1796459795263673,0.052339809841897664,0.1358512062765173,0.09762968055677633,5.9107789571949265,5.910778957194925,0.0,7.964736323174003e-17,2.797157557069881e-16,0.35876068488953583,0.35876068488953594,0.0,71.4,0.0,0.0,0.0,0.0,71.4,0.0,0.0,0.0,0.0,False,False,False
1,725595369,1766001812,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.151498068395743,67.4,14.092707053705468,14.18806012461787,0.07714621907773579,0.18826643630255882,0.08562141108342859,0.026141338900832013,0.10565456747689303,0.032244272359056206,0.04324846945448311,0.19903720223422017,0.05542331954058333,0.18496032556781633,0.10900996666857071,6.055437969821391,6.055437969821392,0.0,8.268091321379795e-17,2.779024842816778e-16,0.24864859660124555,0.2486485966012456,0.0,67.4,0.0,0.0,0.0,0.0,67.4,0.0,0.0,0.0,0.0,False,False,False
2,696368142,856203148,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.15265599900262034,62.800000000000004,12.85582383629601,12.835580577877149,0.07764903687043488,0.17687384884672525,0.08518690821052063,0.03490565503618429,0.10790067187275572,0.041941542044968166,0.046255606023788455,0.16846473450341168,0.056480100880563024,0.17053097863501104,0.1366857293593455,5.494689485009962,5.494689485009962,0.0,8.625627605791172e-17,1.8670653977139892e-16,0.4094487731066457,0.4094487731066457,0.0,62.800000000000004,0.0,0.0,0.0,0.0,62.800000000000004,0.0,0.0,0.0,0.0,False,False,False
3,707573593,2121814943,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.1708869380538796,69.60000000000001,14.075763073101351,13.975985827963239,0.08010864322228298,0.19411258832117495,0.08875811550455859,0.03456963172177984,0.11492224239417599,0.044754302956477574,0.04991800320329408,0.2317097798076267,0.06318871164246047,0.22712882211898933,0.20726217511174294,6.071735931210547,6.071735931210547,0.0,8.022339110557003e-17,2.7755575615628914e-16,0.3544046103718354,0.3544046103718354,0.0,64.5,5.100000000000001,0.0,0.0,0.0,64.60000000000001,5.0,0.0,0.0,0.0,False,False,False
4,1443673076,4002826033,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.10762514752423966,72.60000000000001,15.41879637965328,15.333738415326255,0.07722740694298734,0.2006595893562782,0.08685410824189943,0.039634484921629215,0.10946463230614925,0.04650320574935048,0.04946038669316704,0.19874977715936665,0.06272298093346919,0.30070756019269035,0.26536847666560637,6.70815132556765,6.70815132556765,0.0,8.867019835466313e-17,2.9406505148178845e-16,0.3633047354838315,0.3633047354838315,0.0,72.50000000000001,0.09999999999999432,0.0,0.0,0.0,71.9,0.6999999999999957,0.0,0.0,0.0,False,False,False
5,1283743613,2132980747,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.14316504675699568,67.9,13.909469520735438,13.845509908924008,0.08084703471023232,0.19397487175748893,0.0896388526890115,0.03729597159949354,0.1504282060675239,0.047654668460982284,0.05266713254148277,0.23705517574041488,0.06697548325569536,0.1563027777444416,0.10825935142243903,6.0939887858972615,6.09398878589726,0.0,8.415233526278153e-17,2.779024842816778e-16,0.3021028294790212,0.3021028294790212,0.0,67.9,0.0,0.0,0.0,0.0,67.9,0.0,0.0,0.0,0.0,False,False,False
6,2118442539,3858050010,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.09386954484756901,74.9,15.496133159537557,15.480072929749646,0.07829221857745457,0.22529306676961153,0.08732471405864803,0.032688724340915895,0.13204182504339818,0.040974055593567454,0.0477647007730394,0.18359974232666862,0.060123540144117,0.17549151126118953,0.13947359712386187,6.402885553802999,6.402885553802999,0.0,8.210310149220233e-17,2.8066088919804617e-16,0.2498639918245853,0.24986399182458532,0.0,74.7,0.20000000000000995,0.0,0.0,0.0,74.2,0.70000000000001,0.0,0.0,0.0,False,False,False
7,1122514226,3692069387,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.15628246365275597,68.4,14.392295525610482,14.29819271388575,0.08249144288135807,0.19482766423696324,0.09004101533833196,0.046431105463022634,0.13465000642486125,0.05664050373438787,0.05745242594468111,0.18534880831868222,0.06999761063633772,0.14267547194687566,0.07647899861863974,6.244462681632585,6.244462681632585,0.0,8.805408244857947e-17,2.5066604164831255e-16,0.28788701266587363,0.28788701266587363,0.0,61.900000000000006,6.5,0.0,0.0,0.0,60.8,7.600000000000006,0.0,0.0,0.0,False,False,False
8,2945440137,252367688,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.12512250384350726,68.8,14.692711963656464,14.679742900388355,0.0770438579000623,0.2364884156996229,0.08533840295321213,0.028592064903910513,0.138704006178334,0.04010609723773303,0.04272068954007112,0.15478456382980088,0.05395786776213463,0.15278335113507802,0.14250152770973146,6.284288170358039,6.28428817035804,0.0,8.948958841895407e-17,2.897767167584095e-16,0.469074290644849,0.46907429064484896,0.0,68.8,0.0,0.0,0.0,0.0,68.8,0.0,0.0,0.0,0.0,False,False,False
9,278029302,3907757283,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.12291990248902372,67.5,14.175887996684054,14.10187113209799,0.07406464421763351,0.25560046174387485,0.0825718551797863,0.03676137215174833,0.11983748952757126,0.04547001904226046,0.048317935632188135,0.25439070061475366,0.061343375952295394,0.25297335131223164,0.21370499305096047,6.0155248631463225,6.0155248631463225,0.0,8.731626479219156e-17,2.779024842816778e-16,0.40020935126432744,0.40020935126432744,0.0,67.5,0.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,False,False,False
10,3616197823,2935630276,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.15225161817362348,67.0,14.02024781388999,14.041210033374572,0.08092966088075637,0.33049750337269757,0.09086090408422631,0.03245232001425759,0.10595176322566448,0.04029864905807095,0.0483219859845303,0.30542784219562213,0.062432957796720305,0.09668739424532834,0.029130342436599274,5.680906189808001,5.680906189808001,0.0,8.207269735143533e-17,2.5018537765542007e-16,0.4455828931772875,0.4455828931772875,0.0,67.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,False,False,False
11,1745707571,4237896947,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.06674868675857691,68.2,13.864625750852984,13.79375447390864,0.0738121991150823,0.18521346602830946,0.08198945108997359,0.03742905810004126,0.10968866570457327,0.046643389096777406,0.048149247827231866,0.19225766135016117,0.05963179325695837,0.17210926796014805,0.15411938240003126,5.735270911728821,5.735270911728821,0.0,8.296536356708334e-17,2.7894008272968645e-16,0.42497376438084467,0.42497376438084467,0.0,68.2,0.0,0.0,0.0,0.0,68.2,0.0,0.0,0.0,0.0,False,False,False
12,2210454256,3908414215,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.1393015971679848,84.7,17.20049712029992,17.111446185678226,0.08109266861124058,0.21533024439492926,0.0895018966480017,0.03144988593808966,0.0930922398752025,0.039254325590277826,0.04777411198321552,0.19359701099580384,0.06041210743427257,0.14242806465554173,0.058576965493961776,7.3848044967840565,7.3848044967840565,0.0,8.490225837676195e-17,2.7894008272968645e-16,0.28824112604603247,0.28824112604603247,0.0,82.0,2.6999999999999993,0.0,0.0,0.0,82.1,2.6000000000000014,0.0,0.0,0.0,False,False,False
13,2511590377,3203569087,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,False,False,False,False,planning_failure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,
14,2274882830,1406550982,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.16636864584682462,69.60000000000001,14.295459556978788,14.352066650916205,0.07811784829205534,0.2059156494632983,0.0870998465831033,0.03415787363337936,0.0939834994783698,0.039998831038954706,0.04342355020891101,0.19837075765550127,0.05578285982670047,0.15379335128319263,0.07363513914551297,6.08701999793996,6.08701999793996,0.0,7.866822539915662e-17,2.830524433501838e-16,0.2734183056172324,0.2734183056172324,0.0,67.60000000000001,2.0,0.0,0.0,0.0,67.9,1.7000000000000028,0.0,0.0,0.0,False,False,False
15,1306523764,2141035876,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.09499957379782077,67.4,13.855422012653978,13.899657054491193,0.08048256765981222,0.28764203070099287,0.08843641520654133,0.030180515408629087,0.07907839739744045,0.036524054904353356,0.04434083216166662,0.2869711691780813,0.05549411916466574,0.16030544378784836,0.1266798940810698,5.860171559666682,5.860171559666682,0.0,8.43563256186056e-17,2.776424787817943e-16,0.30321382682817904,0.30321382682817904,0.0,67.10000000000001,0.29999999999999716,0.0,0.0,0.0,66.6,0.8000000000000043,0.0,0.0,0.0,False,False,False
16,1010042146,3658271060,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.08797824770385047,72.9,14.510505416221783,14.44750680147757,0.07630483718739636,0.19529734705290264,0.08388648177213315,0.03051704552042304,0.1347810240626494,0.04002684404883308,0.04317021414418957,0.21374548070960975,0.05530575344173745,0.3909074252652199,0.36710609527379495,6.03036057136609,6.03036057136609,0.0,8.099546397055555e-17,2.776424787817943e-16,0.23739250723870212,0.23739250723870217,0.0,72.9,0.0,0.0,0.0,0.0,72.9,0.0,0.0,0.0,0.0,False,False,False
17,2786688297,2335196008,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.08527263141856327,81.5,17.38701868984395,17.42815837391544,0.08243361719601675,0.21416563073360678,0.08982960523938026,0.035764994227259816,0.11115572318077742,0.043632428359661926,0.049028657840667546,0.19652789658122316,0.06180618582491179,0.1374460806762033,0.05347210341877684,7.140416122197545,7.140416122197545,0.0,9.004203310915762e-17,2.9893669801409083e-16,0.3155277851587174,0.3155277851587174,0.0,81.5,0.0,0.0,0.0,0.0,81.5,0.0,0.0,0.0,0.0,False,False,False
18,3018799164,2492545633,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,False,False,False,False,planning_failure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,
19,102116917,2305910465,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.21107935300530234,76.3,14.976106634427513,15.069904982644191,0.07721426576280706,0.2186896035703056,0.08528872877755418,0.02724155641866546,0.10195593724152276,0.034256971259622744,0.04467379740195673,0.2186896035703056,0.05582909098088896,0.1355968869584198,0.05032871053244369,6.238765599454808,6.238765599454809,0.0,7.860063816901626e-17,2.776424787817943e-16,0.27081759318518217,0.27081759318518217,0.0,74.6,1.6999999999999957,0.0,0.0,0.0,74.6,1.7000000000000028,0.0,0.0,0.0,False,False,False
20,3818948148,4038365003,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.07140397662272234,72.4,15.466366887660666,15.53475537394618,0.08617746654977682,0.20473723426229481,0.09482319053339143,0.02482486610811776,0.07622668504209784,0.03223733821257964,0.041424718706474406,0.12415401198286365,0.050654494793777496,0.1822486946766002,0.131009816871952,6.792639705339369,6.792639705339369,0.0,8.961255418369799e-17,2.7894008272968645e-16,0.3405287558665455,0.3405287558665455,0.0,68.10000000000001,4.299999999999997,0.0,0.0,0.0,67.8,4.600000000000001,0.0,0.0,0.0,False,False,False
21,1630693696,702805332,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.16749564086106045,68.5,13.874814958751621,13.96383903277059,0.07913273442801572,0.19343070177223595,0.08684366161625148,0.032539736253354566,0.10043034083319197,0.040444876146145115,0.04731463607456294,0.17373065651826655,0.05847730184412641,0.2670843232387792,0.19995866569446502,5.700860385815673,5.700860385815673,0.0,8.20092131106816e-17,2.776424787817943e-16,0.41050094052080777,0.41050094052080777,0.0,68.39999999999999,0.09999999999999964,0.0,0.0,0.0,68.19999999999999,0.29999999999999893,0.0,0.0,0.0,False,False,False
