trial,environment_seed,sensor_seed,sensor_scenario,sensor_scenario_name,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
0,2730937650,2972426433,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.19016554550354667,73.9,14.466171662939955,14.454892214981566,0.06030707997238583,0.7071067811865476,0.07635710317310715,0.04455987630702654,0.11676779286417727,0.055326155951692275,0.05233671806306661,0.7071067811865476,0.07354946426353733,0.20518141303045956,0.05,5.8473864754163145,5.847386475416315,0.0,8.070625591047808e-17,2.7757743935277205e-16,0.3901774048838206,0.3901774048838206,0.4162162162162162,73.9,0.0,0.0,0.0,0.0,73.9,0.0,0.0,0.0,0.0,False,False,False
1,725595369,1766001812,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2006545001224079,68.3,14.019088509655482,14.18806012461787,0.057586355371386885,0.19258954380872628,0.06510704103981742,0.03109838425919779,0.08458199780037304,0.03732991381159268,0.044950953206209,0.20242618564767548,0.057103733758092176,0.19822835738940023,0.12028074700541957,5.603674620874436,5.603674620874436,0.0,8.672364737092876e-17,2.7894008272968645e-16,0.24951047050873276,0.24951047050873282,0.39181286549707606,68.3,0.0,0.0,0.0,0.0,68.1,0.1999999999999993,0.0,0.0,0.0,False,False,False
2,696368142,856203148,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2018442229848969,66.8,12.785989908189118,12.835580577877149,0.0593359857825046,0.19940064456309278,0.0671162266192325,0.040634967105518054,0.08495832851997298,0.04647061002454844,0.051136982198593785,0.18165676535000574,0.062273355531340883,0.11739614871304509,0.1275640150724186,5.395308611320301,5.395308611320303,0.0,8.644068587055406e-17,1.962615573354719e-16,0.30408560071203794,0.30408560071203794,0.3961136023916293,66.8,0.0,0.0,0.0,0.0,66.8,0.0,0.0,0.0,0.0,False,False,False
3,707573593,2121814943,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.17364739630264303,67.7,13.863870421669604,13.975985827963239,0.0658582118460718,0.7071067811865476,0.0884640563617549,0.03296000004080235,0.1206872476880183,0.042427393492079954,0.05436047253568096,0.7071067811865476,0.08331894877778576,0.20397035885076364,0.05,5.65162163335515,5.65162163335515,0.0,8.1658926417067e-17,2.498001805406602e-16,0.3535533905932738,0.3535533905932738,0.3938053097345132,62.4,5.300000000000004,0.0,0.0,0.0,62.0,5.700000000000003,0.0,0.0,0.0,False,False,False
4,1443673076,4002826033,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.3275370420603998,73.3,15.221085057828939,15.333738415326255,0.06387170933572593,0.7071067811865476,0.07611540162059284,0.041945712797572386,0.11148393783919386,0.0517546156616204,0.05452590751838173,0.7071067811865476,0.07399969667247447,0.16315915031575887,0.05,6.414767014331428,6.41476701433143,0.0,8.314747585237148e-17,2.7894008272968645e-16,0.3535533905932738,0.3535533905932738,0.40326975476839233,72.1,1.1999999999999957,0.0,0.0,0.0,71.6,1.6999999999999957,0.0,0.0,0.0,False,False,False
5,1283743613,2132980747,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.10080808941233972,69.4,13.911474099526622,13.845509908924008,0.0624228543454504,0.17646680688265828,0.06994344076199878,0.035002348551800504,0.1382161201761824,0.0442284797379335,0.051083525442336686,0.22416945351652545,0.06576298754849008,0.13393870378345327,0.10673366853879794,5.816148646153582,5.816148646153583,0.0,8.388686300786607e-17,2.7894008272968645e-16,0.2672330659821676,0.2672330659821676,0.4201438848920863,69.4,0.0,0.0,0.0,0.0,69.4,0.0,0.0,0.0,0.0,False,False,False
6,2118442539,3858050010,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.19574040010718277,80.0,15.316444623231913,15.480072929749646,0.06038337492927499,0.24820413286823365,0.07085536838479749,0.037678355615975476,0.14905765112000546,0.05044831434059847,0.05019835337081532,0.1918773702631471,0.06397713170903867,0.10094234887999454,0.0872718345142971,6.425985253923196,6.425985253923196,0.0,7.849941485969341e-17,2.8066088919804617e-16,0.2722544894697253,0.2722544894697253,0.44194756554307113,79.5,0.4999999999999929,0.0,0.0,0.0,79.10000000000001,0.8999999999999915,0.0,0.0,0.0,False,False,False
7,1122514226,3692069387,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.20794469689568051,72.2,14.353540289766904,14.29819271388575,0.06208681109507147,0.7071067811865476,0.07407405787889691,0.0536096551172675,0.16107218273243154,0.06855935329794337,0.06402013474614959,0.7071067811865476,0.08499734236513695,0.15629235594417493,0.05,6.183342274723386,6.183342274723386,0.0,8.314031072325015e-17,2.7755575615628914e-16,0.3535533905932738,0.3535533905932738,0.4163208852005532,65.5,6.699999999999996,0.0,0.0,0.0,63.5,8.7,0.0,0.0,0.0,False,False,False
8,2945440137,252367688,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.14237608551766218,73.2,14.610810784564244,14.679742900388355,0.06072544695178983,0.7071067811865476,0.0865991245343309,0.0377401751556978,0.15175136737967865,0.049501828372538886,0.056991737133706956,0.7071067811865476,0.08534035170487952,0.22427624832244883,0.05,6.312839864756252,6.312839864756251,0.0,8.144128857139601e-17,2.776424787817943e-16,0.4494744420801246,0.4494744420801246,0.39427012278308327,73.2,0.0,0.0,0.0,0.0,73.2,0.0,0.0,0.0,0.0,False,False,False
9,278029302,3907757283,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2074815956882663,67.5,14.165051462386753,14.10187113209799,0.06524034528689987,0.30320231675721115,0.07507281733495078,0.0526621440942489,0.14283551198520517,0.0635375440711532,0.058199389691705634,0.2760886238097588,0.07337597508575172,0.24294578355968532,0.190220454714777,5.917543339510587,5.917543339510587,0.0,8.169778718751025e-17,2.830524433501838e-16,0.40020935126432744,0.40020935126432744,0.42603550295857984,67.5,0.0,0.0,0.0,0.0,67.39999999999999,0.09999999999999964,0.0,0.0,0.0,False,False,False
