trial,environment_seed,sensor_seed,sensor_scenario,sensor_scenario_name,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
0,2730937650,2972426433,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.1533648783688304,70.2,14.366191965634982,14.454892214981566,0.0504322929319001,0.1806183557789073,0.057486147117636076,0.02588899107190625,0.07112806387276524,0.03172379188121593,0.03930584689960169,0.1796459795263673,0.04933586446892344,0.1493776713889125,0.09257929812373186,5.228991817253129,5.22899181725313,0.0,8.218317356687363e-17,2.7757743935277205e-16,0.348355106363294,0.348355106363294,0.0,70.2,0.0,0.0,0.0,0.0,70.2,0.0,0.0,0.0,0.0,False,False,False
0,2730937650,2972426433,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.4722698081895754,73.8,14.724477700762929,14.454892214981566,0.3681366174145924,0.509357006153355,0.37035328466808043,0.303804788006149,0.4250285279568254,0.3173899535226531,0.04731362142227296,0.40506178663164216,0.07402074179846434,0.0,0.13828047649953454,5.603375244386527,5.603375244386527,0.0,7.982471929792345e-17,2.7833528704240246e-16,0.23926544108169792,0.239265441081698,0.0,69.89999999999999,0.0,0.0,3.8999999999999986,0.0,73.8,0.0,0.0,0.0,0.0,True,False,False
0,2730937650,2972426433,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.20685929795665764,71.4,14.36861729230413,14.454892214981566,0.07362710330699183,0.2193843346311521,0.08181459262617287,0.028711460613324927,0.08305371694718507,0.03505618877163482,0.0421695222208327,0.1796459795263673,0.052339809841897664,0.1358512062765173,0.09762968055677633,5.9107789571949265,5.910778957194925,0.0,7.964736323174003e-17,2.797157557069881e-16,0.35876068488953583,0.35876068488953594,0.0,71.4,0.0,0.0,0.0,0.0,71.4,0.0,0.0,0.0,0.0,False,False,False
0,2730937650,2972426433,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.19016554550354667,73.9,14.466171662939955,14.454892214981566,0.06030707997238583,0.7071067811865476,0.07635710317310715,0.04455987630702654,0.11676779286417727,0.055326155951692275,0.05233671806306661,0.7071067811865476,0.07354946426353733,0.20518141303045956,0.05,5.8473864754163145,5.847386475416315,0.0,8.070625591047808e-17,2.7757743935277205e-16,0.3901774048838206,0.3901774048838206,0.4162162162162162,73.9,0.0,0.0,0.0,0.0,73.9,0.0,0.0,0.0,0.0,False,False,False
0,2730937650,2972426433,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.47609343781303637,74.3,14.945710848077015,14.454892214981566,0.3891830751108913,0.7071067811865476,0.39356623443899735,0.30959126057208036,0.4639660842003051,0.3276990143273201,0.06405556736644322,0.7071067811865476,0.09829721235059377,0.0,0.05,6.404461774373202,6.4044617743732015,0.0,8.066196309709917e-17,2.7755575615628914e-16,0.3535533905932738,0.3535533905932738,0.41532258064516125,71.49999999999999,0.0,0.0,2.8000000000000043,0.0,74.3,0.0,0.0,0.0,0.0,True,False,False
1,725595369,1766001812,0,gaussian_nominal,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.14941146876436578,70.2,14.02589013767032,14.18806012461787,0.05189708763445572,0.1685285608516428,0.0584498416912333,0.02403111096364452,0.08126383619346364,0.028978536640952204,0.041048358772037545,0.17803386063856677,0.05263274265878544,0.1491346072971921,0.09465825965299127,5.4902054781724035,5.4902054781724035,0.0,7.906630581323448e-17,1.7772239894833365e-16,0.2581986482774677,0.2581986482774677,0.0,70.2,0.0,0.0,0.0,0.0,70.2,0.0,0.0,0.0,0.0,False,False,False
1,725595369,1766001812,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,False,safety_violation,0.22558989360003726,72.5,14.233241687210924,14.18806012461787,0.3636586353321489,0.48855147231287677,0.3658157936532584,0.311667929143833,0.43416048412548197,0.3187741177903289,0.04873994851011443,0.41938732954505414,0.0741241702602018,0.0,0.07694357030450973,5.645296337006789,5.645296337006789,0.0,8.044152156779378e-17,2.779024842816778e-16,0.26916322102365364,0.2691632210236537,0.0,56.59999999999999,4.000000000000007,7.499999999999994,4.400000000000006,0.0,72.5,0.0,0.0,0.0,0.0,True,True,False
1,725595369,1766001812,2,gaussian_plus_delay,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.151498068395743,67.4,14.092707053705468,14.18806012461787,0.07714621907773579,0.18826643630255882,0.08562141108342859,0.026141338900832013,0.10565456747689303,0.032244272359056206,0.04324846945448311,0.19903720223422017,0.05542331954058333,0.18496032556781633,0.10900996666857071,6.055437969821391,6.055437969821392,0.0,8.268091321379795e-17,2.779024842816778e-16,0.24864859660124555,0.2486485966012456,0.0,67.4,0.0,0.0,0.0,0.0,67.4,0.0,0.0,0.0,0.0,False,False,False
1,725595369,1766001812,3,gaussian_plus_dropout,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.2006545001224079,68.3,14.019088509655482,14.18806012461787,0.057586355371386885,0.19258954380872628,0.06510704103981742,0.03109838425919779,0.08458199780037304,0.03732991381159268,0.044950953206209,0.20242618564767548,0.057103733758092176,0.19822835738940023,0.12028074700541957,5.603674620874436,5.603674620874436,0.0,8.672364737092876e-17,2.7894008272968645e-16,0.24951047050873276,0.24951047050873282,0.39181286549707606,68.3,0.0,0.0,0.0,0.0,68.1,0.1999999999999993,0.0,0.0,0.0,False,False,False
1,725595369,1766001812,4,gaussian_plus_combined_faults,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,False,safety_violation,0.2763797924900778,71.5,14.451256488923738,14.18806012461787,0.3730767742062984,0.5865912349773044,0.37733620889217806,0.3110170619423312,0.4407825578552902,0.31921027701859295,0.05463380356893901,0.3937855685947569,0.07979848779275685,0.0,0.09463581782723494,6.42132826638985,6.42132826638985,0.0,8.286581590335207e-17,2.7833528704240246e-16,0.25777458654782154,0.25777458654782154,0.388268156424581,58.89999999999999,4.300000000000004,5.800000000000001,2.5,0.0,71.5,0.0,0.0,0.0,0.0,True,True,False
